class_index,review_title,review_text
1,I'll never get this time back.,"One of the absolute worst movies I have ever seen. Chris Hemsworth is pretty much the only person that is watchable. Save your time and money, trust me."
2,Hunting for a Story,"I recently watched this movie and the first 20 minutes of this movie was quite compelling. Once the character roles were established the movie went quickly down from the there. The movie had great potential and the story was well constructed in theory.Charlize Theron's performance was stillted and unconvincing. I wonder if she actually contributed more than just her name. She is a way better actor than this; she could have really delivered more.Kristen Stewart and Chris Hemsworth were a little better, but certainly it seems as if the director was not encouraging their best efforts. Kristen Stewart had several believable moments but this movie needed more.So 2 stars and what movie was I reviewing again? It's that forgettable."
2,No plot,"The movie has beautiful cinematography, but no story line. Kristen Steward is lacking the acting skills she needs to carry the movie."
2,The special effects were pretty good...,"... but that acting. Wow, really really bad. This was the first time I have seen Kristen Stewart and if I see her in a film again I won't bother. Much like the John Carter lead, she was completely incapable of making me care one whit what happened to her. After awhile I kept glancing at my watch to see how much more I had to take. I wish they had picked someone who could act to play the role. Theron did a pretty good job as well as the rest of the crew, but Stewart completely ruined the film."
1,SNOW WHITE AND THE HUNTSMEN,"BAD PICTURE AND ACTING. I WAS BILLED 4 TIMES AND ONLY RECEIVED 1 TERRIBLE FILM. PLEASE RECTIFY COST. AND PLEASE LOOK INTO COMPLAINTS OF OTHER COMPLAINTS I MADE THAT HAVE NOT BEEN LOOKED INTO, PLUS MY KINDLE THAT HAS NOT WORKED PROPERLY FOR 2 MONTHS AND NO ONE HAS RESPONDED TO."
2,Watchable but Underwhelming,"The movie had solid special effects and scenery, but the protagonists failed to draw me in. Charlise Theron played a haunting witch, but it didn't really matter, since I never cared much about Snow White."
2,Rotten tomatoes,"This movie is totally lame. It's use of fantasy was generic and inappropriate. Some of the special effects were great, but did not always make sense, as if it were a visual for visual sake. I was looking forward to the movie and was disappointed."
1,Very Low Resolution on Amazon Instant Video,"This movie was supposed to be visually stunning, but all that was lost when watching on Amazon instant video.I even downloaded to my pc, but this did nothing to improve resolution. Netflix is by far the better instant video."
4,snow white & the huntsman,the movie was good and had quite a bit of action. I love Charlize Theron and she plays a great part in this.
2,"Well it started out interesting, I'll give it that much. Bit Boring...","I wanted to watch this movie despite what negative reviewers said. I was even going to look past the cons and try to appreciate the pros. It started out interesting and then towards the end I couldn't stay interested. I wouldn't say it is a terrible terrible movie, it just didn't do the Snow white tale any justice. Not really worth a rental in my opinion. It's like hollywood just wanted to make a movie with the snow white title for recognition and then cast a few well known actors to make it worth your time. Then failed to deliver a great movie. Acting was a bit forced and weak. Well thats my opinion, don't get hurt."
2,It's good...Not great,Good plot...good story...just didn't like kristen stewarts sighs!....u pulled it in twilight...ok...other movies NO! I wish I could totally get my moo-laa back!
2,Too dark side,"I was rather taken aback with the violence and ""dark side"" quality of what is supposed to be a children's show. My 13yr and 11yr old and I sat to look at this, and they were more disappointed than I was. The typical ""good vs evil"" can be show without it being so dark. We came away wondering what the message really was in all that. The special effects and good acting, which we would normally appreciate, paled into the background. Very disappointing. Too many shows now have too much ""dark side"" to them. What ever happened to movies that left you feeling edified and entertained?"
4,Very good,"Good take on a classic. Very dark in certain parts if you have small children, Chalise Theron should play more bad roles she was really good, nice to see her in something outside the norm."
2,Good but not over the top,"I liked the movie, but I am not a big fan of Kristen Stewart. It was a boring day and I rented the movie from Amazon Prime to watch while I was doing my housework, but I can honestly say, I am glad that I did not purchase to movie for my home library."
2,Theron almost pulls it off,"Unfortunately, even Charlize Theron can't pull off the entire movie without much better acting from the Snow White character. We finally started listening for the times when Stewart would let the British accent would slip and just wait until we could see the menacing Queen in all her glory again. Everyone else was ""fine"", Charlize was glorious, Stewart oh so overacting. Sorry, even with Charlize, I can't recommend this."
2,Just OK ~ SPOILER ALERT,"A different spin on the whole princess happily ever after thing. The huntsman, not the prince breaks the spell? Could have had a better cast. Special effects were alright."
4,"Todays Version of the ""Snow White Fairy Tale""","I must say I enjoyed this movie enough to see it twice in the theaters and also purchase the DVD. Chris Hemsworth is definately easy on the eyes, and the visual effects were astounding. I ejoyed the story line and the humor throughout the film. The dwarfs were adorable.....it had the stuff to entertained both the male and female population."
1,Fun Story. Bad Audio. Shame on Amazon.,"I've rented this from iTunes before but wanted to see the extended version so there is some grounds for comparison. The biggest difference is the audio. The iTunes version has great audio but the Amazon version nearly blew out my speakers. On the Amazon version, the sound effects were at a normal range but the dialogue level was so low. So low that at moments with dialogue and sound effects you either couldn't hear the dialogue or your sound is turned up too high for the sound effects.So for watching a fun, fresh take on a classic story I'd give it 4 stars (cant be helped. It has Kristen Stewart in it). For audio quality, I give it a 1. In all fairness, it did have sound."
4,"Low profanity, good flick!","I am normally not into this kind of movie, but I will have to say, I enjoyed it! I rented this movie for the grandkids and I like the fact that this movie has very little profanity which is very unusual these days. Evil forest, fairy forest, good vs. evil battles and it actually has a good ""storyline"" which is also unusual for this type of movie. I do recommend!"
4,kristen stewart is a pretty good actress!,"A dark twist on the snow white fairy tale! I was pleasantly suprised by the special effects in the movie! The evil queen scared the hell out of my kids! Definately not a kid-friendly movie, but damned good for adults. I didn't even have to tell them to leave the room, they left ot their own accord! Get your popcorn ready, ladies and gentlemen!"
2,What The..?,"Who the He** is the Huntsman? Who is the evil-queens brother? What are they doing in this story? Man-Oh-Man, they really took some liberties in this story - poetic license I think it's called.... I guess it's basically, fundamentally, sort of the same story... I guess the real, actual, award winning story, the story known and loved by millions of people, the story with such positive messages - that story wasn't good enough for Kristen Stewart. If this movies didn't have such good special effects, I'd wouldn't have watched it all the way through. I'd have turned it off probably way earlier than those shrunken A-holes that were supposed to be dwarves. Loser of a story..."
