class_index,review_title,review_text
1,Second one stopped working in right ear,The first pair that we got my daughter lasted over a year then the right side stopped working.So we got a second pair and after two and a half months - same problem.I think we will look for a different brand at this point.
3,the sound is amazing`,but after a few months those sliders to adjust size broke and its kind of uncomfortable to wear these the only reason it gets a 3 is because of the sound and the lifetime warranty that i dont think i will be taking advantage of
5,Impressive,"I don't have as much money as I do love for good sound. These are great for the price. I have used much more expensive headphones and been disappointed. A friend has Dre's Beats, and they are very good. Using the Koss PortaPro on my mp3 player (SanDisk Clip) using the FLAC format blew me away. It is a better sound than on the $250.00 Beats on a stupidly expensive Ipod. No doubt the FLAC format has a lot to do with it, but I saved $400.00 over my friend and get very good sound. Very clear, great bass, at all volumes. I usually second guess any purchase I make...happily, not this time!"
5,WOW!,"I spent much time researching good, inexpensive headphones. I often ran into these and so I bought them. Not only do they satisfy me, but I think the sound is absolutely great. In fact, I am very pleasantly surprised that such thin and seemingly delicate headphones could produces such incredible sound! Especially for the price these are a great buy. They are very comfortable as well."
3,Good and Bad,So it folds up. That's nice. It sounds pretty good. That's also nice. But it also feels pretty cheaply built and the connector is not at a right angle so I'm expecting that the wire will begin to break near there from all the bending.
3,Could be better,"The sound is excellent. Very true in all frequencies.However, the metal headpiece is not that comfortable and theit constantly becomes unhinged from the the plastic securing piece.Next time I will stick with the Sennheiser p100."
2,"not good, might try again later","Not sure if anyone else experienced this but mine had some wierd rattle on the left ear that went away if I hit it hard enough or let it play for a few seconds. if I let it ""cool down"" the issue would come back. not sure what it was but had that not been a problem I might have kept them. the sound was average and I do not understand why people say it had ridiculous bass, I don't think it did. This is an average sounding headphone by comparison. nothing to write home about. I got the Sony V6 and those are very good, glad I got those, would like to try the Audio Technica m50 one day. I also got those really popular panasonic earbuds here for like $5.87, those also suck, the JVC Gumy earbuds sound way better. I think those earbuds represent a good value like the Pinnacle PN8+. I know that's not an earphone but the Gumys really are that good of a value at 7 bucks. anyways I might give these portapro another chance...probably not though."
4,PX-100's First Cousin?,"It seems that, like alot of other customers, I've tried both the Porta-Pros & the Sennheiser PX-100's. Overall, the two models are very similar in sound quality & comfort. Still, I would have to give the edge to the Porta-Pros. The Porta-Pros are bit more detailed & have a slightly warmer & richer sound. This should not be much of a surprise since Sennheisers are known for their clear, but ""thin"", sound. Of course there are better headphones out there, but these are a very good value which is why I'm giving them 4 stars. I can't see how anyone could be disappointed with them. After all, there are reasons why this model hasn't changed since they were introduced in 1984."
4,Great quality,"The Koss PortaPro has wonderful stereo quality. Although the over head design looks like it can easily catch your hair, it hasn't caught mine once. The only downside is there is a lot of sound leakage and it hurts my ears after several hours if I don't put them on perfectly aligned."
3,Hasn't been a year and they've already crapped out!,"I ordered these headphones several months ago after hearing all the good reviews and learning about Koss's amazing lifetime warranty. I was sick of buying expensive quality headphones only to have them all break before the year was out, including a pair of ninety dollar Bose earbuds I had gotten several years ago!I figured if the company felt confident enough to have such a great warranty, I had nothing to worry about, right?Wrong, it only took a couple months for the sound to stop working on one side, I had to start adjusting them constantly to get them to work properly until that eventually stopped helping entirely.I loved the compact size and sound quality of these headphones, but I am sad that I will end up having to actually use the warranty after such a short amount of time."
5,Amazing headphones,"For the money, these are one of the best headphones you can get. Not only are they comfortable, but they can pump out outstanding quality sound. I have tried these on many different genres of music and they seem to make everything sound great. To me there was little risk involved and a ton of return."
3,"Lovely sound, perfect portability, but durability could be better.","I just killed my second pair of these, so I'm finally debating whether to get another or try something else. While they're perfect for walking since they don't block out ambient noise but still have great sound quality, both pairs broke in the same way. The wiring at the plug seems to be weak, as with both pairs I lost sound in the right side. Considering that they live in my bag and aren't abused at all, I was somewhat disappointed by this. Otherwise, they're perfect."
1,Dead as received,"Many hours were spent considering the decision to purchase a set of headphones.The Koss PortaPro Headphones won the research.Unfortunately on delivery they did not work!!!!!!!Not a problem, Amazon will replace the defective product they provided.Yes they will, seven days at the earliest, following nine days waiting for the original defective product.Time to shop locally and avoid the disappointment of not dealing with a human being."
3,Good sound but extremely cheap build,"I'm actually a 15 year old who bought these off my mom's account.The only reason I got them was cause I wanted good sound on a budget & after countless good reviews I got these for about $30. I expected the sound to be absolutely fantastic & just blow me away & stuff like that but honestly, the creative in-ear buds I got with my ZEN were better, yet these (Despite the retro look) attracted the attention of my friends & were pretty comfortable. But when we were on the soccer pitch the ball just rolled over these & they were demolished. I had 4 pieces of a Koss set after that. They also kept pinching my hair which doesn't seem like a big deal, but is pretty irritating.So if you're a teen who hopes to buy these because they look like a good deal, don't.Go for a higher quality pair, & hopefully those will last you longer."
1,"Not ""noise cancelling""",These are NOT noise cancelling headphones! In fact they are junk! I am returning my set to Amazon. Don't buy these!
4,very good match for portable player or phone,"No hissing, good sound isolation, can be used for hours (at least by the teens), compact, light and still have large drivers.Lows are not very pronounced, comparing to similarily priced sennheiser HD201, but the size is MUCH smaller too. Since mobile phones are not known to be able to drive lows anyway - perfect match.Very good alternative to the inside-the-ear types that I, personally, cannot tolerate due to the feeling of something foreigh plugging my ears and lack of air circulation.Kid takes them to school and has no problems with peers or administrators.NO, these are NOWHERE near full-size Sony MDR-6, but they are perfect for what they are - mid priced PORTABLE headset for low to mid-price portable electronics."
4,Not bad at all.,"Hate the little earphones that came with my iPod so I bought this headphone to replace it. Excellent sound quality, lots of bass, nice and compact when folded up, and has a little pouch for storage. Not bad for the $$. I in fact ordered another one for my sister to use with her ipod, and she loves it also. I have had it for 3 months now and have no complaints."
5,Super Headphones!,"I am very pleased with these headphones. They produce great sound, are light weight and adjustable, and fold to a very compact size.My only complaint is that they came with an adapter for a large input jack (which is very rarely found) instead of an adapter for two prong jacks (which are required for using these headphones on an airplane). I couldn't even find an adapter at Radio Shack so ended up listening to the audio on the airplane in one ear only. Oh well, otherwise they're great."
5,Terrific Sound at an Unbelievable Cost,Very inexpensive when compared to others rated in its class for quality of sound. Get them as soon as you can. I have not had a problem with the head band capturing my hair and I have used these extensively.
4,good product,these headphones are awesome. i like the open ear design where i can hear what is going on around me. very durable and good sound quality. have been using for a year with no issues
4,A real steal in this day and age,"For $30, you simply can't beat these headphones. When my Bose earbuds died of a short at the jack a few months ago, I started searching for an affordable pair of earbuds/headphones that fit well and had excellent sound. After trying some Klipsch earbuds and Koss over-the-ear headphones, I stumbled onto these via a cnet review. They're great. I wear these at work so it's important that I be able to hear other sounds like a phone ringing or co-workers trying to get my attention. At the same time, I value high quality sound and these, surprisingly, provide. Sound is great. They're light and fairly portable. The only thing I don't like is that even set at the lightest tension setting, they still squeeze my head enough to make my ears a bit sore after a long time (I have big ears - your results may vary). I'm happy I bought these and would recommend them to others."
4,"Great sound, but does ""leak"" sound","As the other reviewers have said, they do sound great, but they allow too much sound to escape. I planned to use them at work, but I can't because of that. Get the ear canal types, or the headphones with an enclosure around the entire ear."
