class_index,review_title,review_text
3,"Not for milshakes, etc.","I made the mistake in buying this to mix milk-protein drinks, it just doesn't have the power to do it. I'm going to buy a Cuisinart or Proctor Silex plug in model that have a lot more power and are about the same price.This is probably great for frothing milk, but they shouldn't have advertised it for making milk shakes or anything that is thick, it just can't handle thicker drinks and really bogs down and even stops."
4,Affordable and usefull,I am satisfied with Aerolatte Milk Frother as it delivered to my expectation. Also it is worth for the price you pay. It does froth milk properly and is also easy to use. Cleaning it is also simple. All in all a worth buy.
1,Short Life,"After stirring 2 cups of coffee daily for a few months, it just quit. Batteries check OK, but no more frothing anything. No better than Ikea junk, but costs several times as much. Took it apart -- commutator failure. Save your money and buy several from Ikea -- throw them out as they die."
2,"Worked well for 4 weeks, badly for 3, and then died","This product worked great for a month and then the last 3 weeks of its life, seemed unable to create a sustainable froth. I think for the price, it should have lasted at least 6 months. I saw one review where they recommended buying the $1 version from IKEA since that reviewer felt they all had a short life. It think I might try that because I did love having the frothy coffee every morning."
4,Great frother!,"This is a great little frother and works very well. My only real concern is the construction of the motor housing unit. The frothing coil and stem are study metal, but the motor unit is plastic. It needs to be treated gently because it doesn't seem terribly sturdy (which is why I didn't give it 5 stars.) I just store it in its case so it won't get bumped in the kitchen. The carrying case is also very handy if you want to travel with it.However, the Aerolatte does exactly what it says and makes great froth. Be aware that according to Aerolatte's website, you should either froth very cold milk or milk that is very warm (but has not boiled). They specifically say that room temp milk does not froth well. I heat mine in the microwave for about 30 seconds until it is very warm and then froth it. Then I pour coffee into it to make a delicious cappuccino. Yum!"
3,aerolatte milk frother,"Aerolatte To Go, BlackI used one of these when I visited my daughter and loved it so we ordered it on line so it would be waiting when I returned home. I have been very disappointed in the one I got. The cover for the battery compartment does not fit on tight. It seems like the batteries are too long. As a result, in order for it to work, I have to push down on the battery cover to get a connection with the batteries and then push the button on. It is very awkward. I bought it for my grandchildren (7 and 9) to use and it is too difficult. I did not have this problem with the one I used first so I wonder if mine is defective. Maybe I should have purchased the more expensive one but I was ordering the one I had used. Who knows. It is fun to see hot chocolate stirred so completely so quickly though."
2,Aerolatte To Go milk frother - do not buy,These milk frothers work well for a few weeks but then inexplicably will not function even with fresh batteries. It appears that the connection between the batteries and the on/off switch is lost after a relatively few uses. Buyer beware because these appear to be cheap Chinese-made junk that only last for a short time.
5,Lovely!!,If u like frothy coffee and hate washing ur coffee machine or dont intend to buy one now..this thing definiltey makes up...its almost like a motorised superfast whisk and u must not fill the cup more than half or u can pretty much swirl the coffee out on urself...but once u get the hang of it..u will fall in love with it. I like it.
3,It's overwhelmingly mediocre,"After over a year of faithful service, the frother just broke - the motor burned out. I wont't be buying another Aerolatte. During the time it was working, it worked fine. This frother is not as fast or strong as other models I've used, and I'm disappointed that it burned out so soon."
2,Broke after a few times,"When I first got this, I loved it. I put it in our camping trailer and it was used only infrequently, probably only about 10 times. When I turned it on to use it recently, it worked for about 10 sec. and then the stem fell out of the base unit. Of course it is over 30 days since I bought it and nonreturnable. I am very disappointed. When it worked it was great."
2,only lasted 6 months,"I was happy with this at first but after about 2 months of use (making a single cappuchino every morning for myself), it began to loose its speed even with fresh batteries. At about 6 months, it just stopped working at all."
2,Worked great for 1 week,This worked great until the beater came out of the body and wouldn't stay in after that. Works great while it works. Shoddy production though.
3,Does what it says but could be better by design,"It does froth milk and quite well. It has plenty of power for its assigned task. But it could benefit from a few improvements.The on/off switch is low quality, having a tendency to drift on or off, be sticky, not turn on or off if moved, or get stuck. This switch is not operated for sufficient duration that it should be of the on/off type. It should be a momentary contact pushbutton, which is easily pressed and held.The battery door is flimsy and made from a primitive low precision molding process. For the price, it should really be better than what they've got, especially since higher precision is not that much more cost these days.The base of the unit should be a bit wider so it would more easily stand on the end opposite the impeller."
2,"Works great, but breaks and no support from AeroLatte","I bought one and loved it, then bought more for gifts.Mine just flat out died after 1 year, and amazingly one of the gifts also died the same way.I contacted aerolatte via the email address on their little brochure and they never responded. So works, but cheaply made and not supported by AeroLatte."
3,"Aerolatte To Go, Milk Frother, Black","Aerolatte To Go, Milk Frother, BlackMechanically this frother works well and it froths the milk. I gave it three stars only because the milk must be cold and it stays as cold froth and as a result the coffee is also cooled. We tried to heat the cappuccino in the microwave and the result was a rising airy froth which collapses into a milky cafe au lait. However, if one wants cold froth, it works fine!"
5,Great Product.,it is a nice and good product that Worked as Expected. I would buy it again for a gift anytime.
3,not bad for the price,"wish there was a warming component. Hard to froth warm milk and the cold milk loses it froth quality once you microwave it. That said, its cheap, small and travels well. so I would probably buy again."
1,Broke in less than 3 months of use,"I bought the Aerolatte Mooo Milk Frother and it no longer works after 3 months of pretty regular use. I used my last Aerolatte frother on a daily basis for years. This one simply stopped working. It won't turn on at all. Very, very disappointed."
1,Short Life,I love the idea and enjoyed this a great deal for a few months.I bought two and the same thing with the second one.I will try a different brand next time.
4,Concise and sufficient,"Concise, sufficient and yet vague in certain areas, I'd give this grammar book a 75/100. It does go into quite some depth in regards to grammatical components of the language but the structure of the book itself is rather difficult to navigate through and in some areas can be in which seems, ordered illogically. However I greatly cherish this quite and easy grammar reference and will recommend it to anyone wanting to ameliorate or even learn Norsk :DjulianalleesDen 28 März 2011"
3,Title is misleading,"This book is very much like ""Norwegian: An Essential Grammar"" by se-Berit and Rolf Strandskogen. Eventhough the title indicates that it addresses or teaches Norwegian verbs, it does very little with regard to that -- in fact, it is not much different from the aforementioned book in that sense too. It does do a good job of teaching the grammar, though the title is a misnomer. I was expecting a book *filled* with hundreds of verbs and their conjugations, but there are only about 12 (2x spaced) pages of them. Both the aforementioned and subject books are worth using to learn Norwegian. Mange takk til forfatterene!"
3,Use the pump until you want to cry...,"I used the tiny pump until I wanted to cry because my arms hurt so bad, but I finally got it to 55cm."
5,EVERY MACHETE SHOULD HAVE A HAND GUARD,"I was chopping brush with a machete without a handquard,it slipped out of my hand and disappeared into the river.So then I bought a machete with a lanyard.I was chopping brush with a machete with a lanyard,it slipped out of my hand but didn't fly off.The lanyard swung it into my leg.After I left the emergency room, I bought this machete.I've been a happy camper ever since.They should have named this the ""Safety Machete"".Sold-seperate hunting companionMulti Purpose Axes"
1,Really?,Ordered by mistake. Requested cancellation less than 5 minutes later and the next morning get an email saying it has shipped. Seriously doubt that and wonder why they didn't cancel when I asked? Won't use them again nor will I suggest them to anyone either and do not respond to emails!
2,Not what I was looking for...,"Although very soft to the touch and warm, I do not like this blanket for yoga. It is full of lint, even after washing. It is very bulky, so it does not fold tightly or stay put. It is way too soft to give firm support for poses such as shoulder stand or to roll up and use as a bolster. If you are looking for a blanket to use as a throw, this blanket is fine, but I would not recommend it for yoga."
5,Great blanket for yoga,"When I looked at the reviews to buy this blanket everyone said it smelled really bad, so I was bracing myself when I received it. But it really didn't smell bad. It had a similar smell to any other mexican blanket I've ever purchased, a little agricultural. And the smell washed out fine after one wash. The blanket is nice and heavy, but still fluffy and soft. I can roll it up and it works as a good supportive bolster, or I can rest it over me in savasana to keep warm. And it is a really pretty plaid...I was worried at first about not being able to chose my color, but I wasn't disappointed."
1,Lint,"This product looks nice, the weight is fine but it lints so bad you can't use it aroundchildren,pets. I fact I'm sorry I even bought this product.What the say about thereproduct is a joke."
2,Stinky!!!,"This blanket smelled really, really bad (a strong chemical smell). It is made of 100% acrylic fiber. About 3 days after opening the package the odor had not diminished one bit so I washed it 3 times with detergent and borax which got most of the stink out. Also, this is NOT a heavy duty blanket - more like medium duty. On the plus-side it is soft and warm."
4,Great Blanket!,"The blanket was not at heavy as I would have liked, but it is softer than I thought it would be. The smell was not terrible and it mostly washed out in one wash. Also, I was a little concerned about not being able to choose my color, but I was pleasantly surprised."
5,VisitorQ's Australia,"Rather propaganda than musical or tourist guide, this movie portraits Australia through Japanese youngsters eyes-funny, sexy and careless, catching a wave for surfing and laying chicks the most problems are.It is a really relaxing and surprisingly easy-to-consume Australian production."
4,Last Resort by Milton Crabapple,I bought this for a present for my father. He LOVES this comedian. This is mostly songs and it's okay. We enjoy his comedy line better than the songs or a mix. I would have prefered the other but this was okay.
2,Not impressed,"While there are Redken products I've liked, this one has left much to be desired. Glass, seeming to be the hot product about two years ago, has never done more than seemingly coat my hair with a mild residue of greasiness. It never seemed to penetrate into the cuticles of the hair nor to create any kind of style that left me feeling satisfied. On top of this, I've had to use large amounts and even then, I don't find that the frizz is lessened all that much. Perhaps my hair is a bit too unruly for Glass...I've found that Matrix Biolage's Curl Defining Creme has a much better hold on frizz than Glass does."
2,Redken Smoothing serum,"It's just OK. I was looking for something to replace Artec smoothing serum by L'Oreal. This works OK when you first put it on, but it is too watery based. Doesn't have enough holding power. The next morning it's like you didn't use anything at all.Still looking for replacement."
2,"90% good, then poor finish","I picked up this book with the hope it would be on a par with Lawrence Block's excellent ""Bernie the Burglar"" series. But it isn't. It starts out reading like a comical cozy mystery, albeit with too much unnatural profanity. Stanley Hastings is hired by a rich lady to find out who is giving her threatening phone calls, and as he starts investigating, people drop dead. And then more interesting things happen, like a fish message that sounds like something the mafia might do. But just as it is getting good, the book takes a terrible left turn about 30 pages from the end, leaving me feeling terribly cheated. And the very final scene made no sense whatsoever... how in the world did the criminal get nabbed? I am sorry, this just didn't work for me at all."
5,Ah the wonders of Disney,"Mary Poppins ... blah! :) This is a marvelous movie with a marvelous soundtrack! Helen Reddy fans, enjoy her! Disney fance, enjoy this! A fun soundtrack with marvelous memories from the movie. ""Candle on the Water,"" a great ballad! I love this movie, however was a bit nervous and unsure about the soundtrack. However, this soundtrack does a great job capturing the magic and wonderful and sublime innocence of the film."
1,WHAT A RIP OFF! Gale Encyclopedia of Alternative Medicine : Apitherapy IS NOTHING AMAZON SHOULD REMOVE THIS,"Gale Encyclopedia of Alternative Medicine : Apitherapy is a RIP OFF! This is nothing, I do not need the definition of Apitherapy, it seemed this would be a guide to Apitherapy, instead it is ONE Page of NOTHING! Amazon is a rip off too, if you buy an ebook, you get NO REFUND! NO REFUND ON EBOOKS?!?~?~?~@#$%^ AMAZON!"
4,Celtic Inspirations,"Celtic Inspirations: Essential Meditations and TextsWilde uses fantastic organization and imagery in 152 pages to deal with five different subjects: The Treasure Chest, Druids, The Body, Sky and Landscape, Symbols, and Heroes of the spirit. Who are the Celts? From where do they originate? What were their stenghts? What were the symbols and items that they carried with them through out their culture? What did the cup truly mean? What was a cauldron? What meaning was a horse?The photographs of forests, dying wool, and sidhe are so fantastic. The drawings are stunnings and match the the tenner of the day. I would buy it alone for that, the use of herbs and a quick reference. Its a short and sweet kind of book."
5,Relaxing to read,"I agree this is a nice little gem to read when I like to relax and curl up with a book that gives me that ""take me away to the Otherworld"" feeling. Very meditative to read, allows your imagination to run free when we need to. It is put together well and the pictures and photos are equally enchanting. Thanks for a wonderful mental get away and some great meditation material."
4,This is good country rock!,If you like classic country rock you will not be disappointed by this CD. It is a who's who of early 70s country rock.
3,One serious electrical defect,"For the most part, everything that this product was supposed to be, it was. I have bought and installed a whole house fan before, so I knew what to expect. However, the ""on/off"" switch (sort of a 3-way switch) sparks when being turned off. I know that is not how it is supposed to be. The rest of the fan seems to work okay.When I contacted the seller about this problem, to either get another 3-way switch or to give me some sort of remuneration for the switch (I am pretty certain that I can figure out how to bypass this switch so that it is either on or off), he told me to contact Amazon directly, which made no sense to me, so I didn't."
1,Poor Craftsmanship,"Arrived with shutters broke in 7 pieces, unable to get replacement so far, even though was assured by Amazon if I sent shutters back I could.Very flimsey louvers & skirting is just cheap cardboard. Doesn't include allen wrench for blades even though 99 percent of purchases include one, if needed.Box is built poorly.John"
5,A great guide that is easy to follow,I bring this with me hiking and try to visit at least one of them everytime. A great guide that is an invaluable tool for any hiker in the Adirondacks area.
