class_index,review_title,review_text
2,Too bitter,I'm amazed no one has mentioned how incredibly bitter this stuff is. It's not sweet at all. It's very tart and bitter. You need a lot of sugar to hide the bitterness. Won't be buying it again.
5,the best for aulus mabele,I RECOMMEND THE OF AULUS MABELE PLUS THE WON I RECOMMAND BEFORE.THANK YOUR TO ACSETE MI RECOMMANDETIONS.
5,Fits nicely in my 03 Camry,Good filter for a good price. It fit perfectly in my 03 Camry and it took less than 5 minutes for the change.
2,NOT FOR A 2003 Toyota Camry!!,Ordered it. Wanted to use it right away for a road trip. it was completely the wrong size.I ended up cutting it up and gluing it into the filter tray.
1,FUNNY SHOW.....HORRIBLE DVD QUALITY,"These discs are made on demand and are as cheap as you can get. There is only 1 home page option and that is play epiosdes and that menu looks like a 3rd grader created it. There are no chapters, if you hit the chapter forward button it will skip to next episode. There are no episode titles or summaries anywhere in the package and the episodes are NOT EVEN IN ORDER!!!!!!!!!!!!! Extremely dissapointed in the packaging of this short lived show I enjoyed."
2,"Great Show, Poor Release","It was good to see Matthew Perry back on weekly series television. Sadly the show did not even last a full season. Happily it did make it to DVD. This DVD release has every episode even those not aired. And I am truly happy to have this show on DVD. What troubles me is the way it was slapped together. I have purchased MOD in the past but have never seen one so poorly produced. There is just one main menu. There is no way to select a specific episode other than hitting play and skipping ahead to the correct episode. There is also no way to jump to the next scene. In the end the quality is something I could have achieved on my home DVR. Very disappointing. But, if you are a fan of the show or Mr. Perry you will be glad to have these episodes in your collection. I rate this series as 5 star but sadly this release is 2 stars at best."
3,Mr. Sunshine is Another Cloud for Perry,"Matthew Perry has been on a run of bad luck since Friends ended. He's been in some good projects like Studio 60 On The Sunset Strip that haven't been given a chance to get their traction and flourish. Mr. Sunshine looked like another good opportunity for Mr. Perry to find some post Friends success. He played Ben Donovan, a self-absorbed manager of a San Diego sports arena. The role was tailor-made for Mr. Perry (it didn't hurt that his production company produced the show) and he played well off the kooky arena owner Crystal played by Allison Janney as well as Crystal's child-like adult son Roman played by the very funny Nate Torrence. Jorge Garcia from Lost guest starred in a few episodes as one of the many arena workers Ben has contempt for. The show only lasted nine episodes. While it did start a little slow it felt like it was starting gain some momentum when ABC pulled it off the air permanently."
3,text book,"This is a book for students. Some fairley good information, has quizes after each chapter. Useful infermation"
1,Waist of money on this book. Feel sorry for myself.,Amazon service was excellent but not happy what I bought for the price and material covered inside this book.I was hoping to see the real furnace parts being shown in trouble shooting.Feel like a dirt after buying this.Hope Amazon takes it back from me and send this book back to the seller.
3,I can't believe there's no online banking support!!!!,"This just blows my mind. My cheapo Quicken (actually bundled free) has had great online banking support for years, but pricey Quickbooks PRO does not? What is that? This is 2005 -- I can't fathom how they could possibly release this product without online banking support. It's not like they don't know how to do it.Other than that I really like it. I'm using it anyway as there isn't really an attractive alternative in my opinion, as they must know..."
1,An absolute joke,"As an Intuit user since 1988 (that's right, 16 years) I simply can't imagine a company that could do a better job of managing an outstanding product into abject failure.Whether Quicken or QuickBooks, Windows or Mac, these products have drifted steadily downhill since 2000. They code is more bloated and bug filled with every new ""release"".QuickBooks 2005 for Mac? Let's see....no Online Banking function; No Payroll Integration. I'll go no further....it's as useful as an Excel program without the ability to calculate cell formulas.Save your money."
3,Not ready for prime time: more is less,"Intuit has hyped this new release a lot, but it falls well short of deserving the praise. The 2005 QuickBooks for Mac would be a definite improvement if there weren't so many little glitches and annoyances in it. Most disturbingly, accounts and numbers pull disappearing acts - they simply don't display on the screen sometimes. How confidant can you feel when you're looking at a Profit and Loss statement that has no numbers on it?Even though the menus are touted as being redesigned to closely match those in the PC version of QuickBooks, some things are still maddeningly hard to find. And too many basic features are still unavailable. Intuit should have kept this under wraps a bit longer and made sure it worked before they foisted it off on users eager for an improved product. Let's hope they address the bugs promptly in a maintenance update."
1,Not as advertised:MAC to PC problems.,"If you are planning on round-tripping between your Mac and a Windows version (i.e. between your accountant or bookeeper's PC using a windows version of Quickbooks Pro- DO NOT PURCHASE this product! Unfortunately, there are two major flaws with Quickbooks 2005 7.0. The first and most dangerous is that the more you round trip the more corrupt your data will become. Secondly, if you have memorized reports you will have to errase them before round tripping and they will not be saved.Unfortunately Quickbooks does not tell you this before purchasing- infact they advertise this easy conversion between Mac and PC as a selling feature for their product.If you do not need to have your accountant or CPA manipulate your data on their PC, then the program is a good attempt to make a Windows style program into a MAC-like product."
1,Terrible Software,"This new version is a complete joke if you need an accountant to check things over and make changes. Unlike the windows version, the mac version cannot create an accountants copy. This means that you can't make any changes to the file (like add new entries) until you get the revised file back from your account. In contrast, the windows version has had the ability to do accountants copies for years. This alone makes the program borderline useless in my opinion."
4,Nice bit of software for a PPC Mac easy to use,"I have a mini mac power pc so any software after 2009 won't work on my mac, I got hold of this old copy of quick books and it works fine, easy to use. Its missing a few extras that they have added on quick books 2012, but it's got everything I need to run my small buisiness, it's an American version and I'm from the uk, so I had to put a fake USA phone number in to register it online, other than that it works fine for a uk user."
2,Intuit support was a joke,"I had problems setting up the windows version of this program. When I called support, all the guy wanted to do was sell me an extra support plan. He wasn't even interested in hearing my question.The program is easy to use, but is very limited in functions. Also, no multiple currencies: something I need.MYOB supports multiple currencies but that program is a huge headache.While the Windows version of Quickbooks is a really solid program, the Mac version is week.I recommend checking the apple download page. There are many free or extremely cheap programs with similar programs to this quickbooks."
4,A LESSON REGARDING THE CARE OF OUR EARTH,"A tiny tree mouse stands her ground when trees in the forest are flattened by a gigantic bulldozer. At last, sensing the fright on the faces of the animals, the driver of the bulldozer leaves and the woods are again at peace.This author's marvelous animal art and meaningful storyline sends an important message regarding the care of our earth.Young readers will learn and also find themselves rooting for the survival of their new animal friends."
1,Disappointing,"This pot is very thin. It dents very easily. It became dented and slightly warped early in its usage. The lid is sometimes difficult to lock and you can easily find yourself accidentally dumping your spaghetti in the sink.The biggest problem I have with it is that the coating comes off. I do not want that in my food. Once the coating comes off, the bare spots inside began to rust. To the trash!"
2,"Hey Mr or Ms Not Helpful!,","This is a pretty good product if your interested but very flimsy. That is why, even though I get good use out of it, I couldn't recommend it."
1,Did they pay people to review this book?,"Read this book - and with no apathy towards the authors - so what? Nothing new. Same stories, same info has been presented by George S. Day, David A. Aaker, and many others. Having worked with the authors in the past, I say this. There is nothing unique or special about their process. Its not rocket science. There are better, more detailed books about this subject - choose them."
5,Very practical and easy to implment,One of the most practical book which I have read. Defintely Paul Strebel has put to gether an excellent book from well-known authors who have wealth of practical knowledge on the topics. It easily can be distinguished that what authors writing are from their solid and in-depth experinces in the field. I highly recommend this book to those who have some experinces in the field and need new practical guidelines to move their organization/team into this 21st century industrial-informational arena.
3,At times a bit cheesy,"The concept behind the book is well-imagined. The photos do, at times, live up to the idea that inspires them -- athletes from Greek and Roman times, carved into marble for all eternity. Unfortunately, this collection of photographs won't perhaps stand the test of time, but some are stunning and other make you blush. With that, it makes a fantastic coffee table book that is sure to catch the eyes of all and definitely a few giggles. ;)"
2,not what was expected,"this is a great book, the only problem was the seller didnt mention the outer cover wear and many of the inside pages were dog-eared."
3,Very few real nudes; they cover their genitals!,"There are 82 pictures in the book (and an additional 2 pictures on the cover).Of those 82 pictures 13 of them show full frontal nudity. In most pictures, however, the model covers his genitals with his hand.The models look good for the most part. Their age seems to be in the late twenties. They are well-worked with a lot of muscles. Whether that is beautiful or not, depends on the reader. In my opinion there are only few beautiful models in the book.If you prefer to look at naked males, who cover up their genitals then this book would be right for you. If you prefer to see it all in nude pictures then do not buy this book!"
3,Accurately depicted,"This pendant was accurately depicted both visually and in description, seemed well-constructed. Received as stated. More than I would normally pay as a wholesale buyer and jewelry creator. Overall, satisfied with this item."
5,A Minor Classic,"Frankie Lee finally had an LP released under his name in 1984 on the Hightone Label. The album leans more towards soul than Lee's later releases. Notable songs include ""The Ladies and the Babies"", a humorous tale of a one night stand gone wrong penned by soul veteran Jimmy Lewis, the country-ish ballad ""Don't Make Me Go Home"", and the party-rocker ""Lu Ann"". Lee shows his more serious side on downbeat tracks like ""The Woman Don't Live Here No More"", the deep blues ""Face It"", and the socially aware ""It's Cold Out Here"". While Lee doesn't have the strongest voice around, his vocal's are great on every track and he definitely deserves to have more than 4 albums under his name."
1,What is this schlock?,"My first and last impression of this movies was that they fired the editors, it was patched together cliche humor with totally unrealistic scenarios that leave you thinking just what the hell the producers were thinking when they green lighted this terd. Stay away from this movie, you want something this painful just shoot yourself in the foot."
1,"possibly the worst film, ever","This movie is repulsive in every way. Possibly the worst thing to happen to otherwise talented actors Norm MacDonald and Danny DeVito. I have nothing against rude boildy humors. I had a good laugh watching movies such as ""There's Something About Mary"" and ""American Pie"". If the entire movie ia centered around fart jokes, at least do them right.... The movie failed to grasp the concept of funny and confused comical exaggeration with plain lameness.... This movie should be only funny for people who have lowered their expectations to the point of unconsciousness. As bad as it is, this movie has the ironic potentials to be a cult classic in the future. When something gets this bad and this unpopular, it'll come back and embraced by the cultural cultists."
