class_index,review_title,review_text
3,a most interstended book.,This book as a lot of bloodthirsty wolves. The young boy went camping with his father. They met up with a pack of wolves when they went deer hunting. I like this book because it talks about wolves and has some gross stuff in it. Farley Mowat has a lot of detail about this book and the writing really lets you understand it better.
5,"For nature lovers or otherwise, a must-read!","Saw the movie a long time ago; never got to read the book until now, and I am glad I did. Beautifully written and an eye-opener for those who do not realize the pressing problems inherent with resource exploitation and development in the last remaining (precious) wilderness we have. It will always be good to know that there are still places out there where nature rules!"
1,They call him Hardly Knows-It,"I didn't actually enjoy this book while I was reading it; although there were some parts that were interesting, a lot seemed very unbelievable.I was felt betrayed later, when I learned that Farley Mowat had written a HIGHLY fictionalized account of his experience, had spent very little time with the actual wolves and besides hadn't been there alone at all! I absolutely can't stand fiction being sold as ""an absolutely true account"" -- this crossed a line. And now that it has been revealed as fictionalized, it is truly astounding that it is still fooling people and is still being classes as nonfiction."
1,Never Cry Wolf : Amazing True Story of Life Among Arctic Wolves,"To put it very simply, how can a fictional work be considered ""Amazing True Story of Life Among Arctic Wolves""? Very deceptive and misleading in it's title. A fictional book about wolves; yes, a true story; no. Read to enjoy a fictional world drawn up by Mowat, but if looking for a true life story stick to non-fiction writings as this is certainly not among those."
4,The discription in the book is very vivid.,"""Never Cry Wolf"" is a true story about Farly Mowat's studies of wild wolves in Alaska. The book details his studies and observations of one particular pack of wolves. In his studies, he conducts an experiment to see if a large animal (human) can survive strictly on field mice, and he is the guinea pig. He does this because he notices that this is all the wolf family is eating in the spring, and he wanted to see if it was really possible.This book is an excellent selection for any reader interested in wolves or an Alaskan adventure. Also any reader interested in a lot of feeling and emotion would be completely satisfied."
4,Especially for Animal Lovers,This book is a good introduction to Mowat. It is one of his early books and will be appreciated by all animal lovers. It enhanced my knowledge of and respect for wolves. The movie is also excellent and I highly recommend it. Charles Martin Smith plays the part of Mowat and is perfect in the part.
5,I Don't Read!!!!,"I had to read this book in school. I hate to read never had. Most books you read in school aren't that good but this book is different. If you like Dogs, Wolfs or any kind of animals you will love this book! Get it."
5,Great Seller!,"This book was for my daughter, who is an environmental activist/eco warrior. She LOVES the book - it arrived on time, was new and we had no problems with this order. Thank you."
1,I don't think they would print what I would like to say,"I read this ...how do you say ""NOVEL"" pretending to be non-fiction when in grade school years ago.Since then I have learned that Sir Mowatt doesn't let the truth get in the way of a good yarn.I will never read any book by him again. ...I give it a negative 5 stars.save your money and buy a comic book."
1,"Ahhhhh, I didn't like it.","This is a book about wolves. It is a far cry from Dr. Seuss, but is still good for children. I as and adult, did not like the meaning behind it and it was treacherously boring, but if you want to read go ahead, because you probably have lots of time on your hands."
3,"If you have better things to do, go do them first","this book is very boring. Only read this book if you have nothing better to do. It has some funny and entertaining moments, but is not very interesting."
1,A bad experience,I have a bad experience with the bought of this product because after a month I don't received the merchandise. In the future I will not buy any product to this company osipmail.
1,"Way too slow, way too boring.","As a true lover of reading, I rarely run into a book I truly detest. However, I found Never Cry Wolf truly awful. I found it very difficult to actually finish it. I thought it would be a good outdoors book, but boy was I wrong.The problems begin in the first chapter. It seems to have nothing to do with the rest of the book, or anything, for that matter. After that, it was simply too slow and too boring. Nothing ever really happens. I was still waiting for the excitement to begin when I reached the last page. No excitement ever came.I would really like to warn anyone off who is thinking of reading this book for pleasure. I guess if you are a professional environmentalist or are obsessed with wolves or something, you might find it interesting, but I sure didn't."
5,A great first effort by America's greatest popular author.,"Roe was a chaplain and war correspondent during the Civil War. After the Chicago fire, he was moved to write this stirring account of that tragedy. The conflict between the two main characters is more mezmerizing than the fire! This is an outstanding book by my favorite author."
3,Ian's Review,Rampage:World Tour is pretty boring. when i first got the game it was fun but then I got tired of it. it got boring because you do the same thing on each level which is destroy all the buildings and eat people for bonus points. If you are thinking of buying this game then rent it before you buy it.
3,eeehhhh.......,"Rampage World Tour is excellent at first. At first. Once you get into the game it's hard to stay awake. All you do is smash things and eat people. Thats all. When you have a friend, its more fun because you can have death matches, or look at the chart to see who destroys more buildings. If you have no friends though, then I can only reccomend that you rent Rampage World Tour."
3,Okay game,"Rampage: World Tour is a great game for people that delight in destruction, but for anyone else, it could get very boring in a short period of time, all you do in the entire game is destroy buildings, and mutilate people. This can get annoying after a while, so I would only suggest this game if you planned on playing it with a friend; this will add a little extra intrest to the game because you and your buddy can duke it out in the death matches, a pretty fun game... but don't expect to get obsessed with it."
4,whatever,Dont buy this game it is fun for the first2 days and after thatit gets so boring i mean you dont even acomplish any thing forabout 300 levels. you should save your money for jamesbond orsomething.
4,They made a classic even better,"In the game u choose to play as one of 3 different monsters, a giant lizard, wolfman, and a king kong like charachter. The object is simple, destroy and eat as much as possible. In each level you have a number of buildings to destroy while being shot at by army troops. The graphics and animation in this game are trully eye pleasing, nothing like the old arcade's 16 color scheme. And if you get bored of destroying buildings, take it out on one of your partners, punch them, kick them in the groin, or a jump kick to the jaw. Its just plain fun!"
2,Playing this game is equivalent to taking a nap,"I played this game while I was babysitting at a friends house. I played for about half an hour. By then I'd had enough. You'll like this game if you want to destroy stuff and eat people over aand over and over again. All you do is start the game, choose your monster, and start destroying. You do the same thing every time. You walk around and punch a building holes form on it and you grad the stuff and eat it. Or, you can punch airplanes or cars. In conclusion, i found this game boring. This game would be good in an arcade for 25 cents for about 15 minutes. done."
1,Could there be a worse movie?,"I am a college student majoring in film with an emphasis or writing and directing. We had to watch this film in one of my film classes. One word: junk. This movie had nothing redeeming about it; I do not care what people say. The lighting was bad; cinematography was shoddy at best, and the acting atrocious. Maybe I am a cynic and am slightly biased towards modernist films. I usually find foreign films to be some of my favorites including Run, Lola Run and The Color trilogy: Red, White, and Blue, but this movie did nothing for me except annoy me and infect me. I am sure none of you agree with me, but I felt I should inform people that this movie is defiantly not as great as everyone says it is and should not be placed on a petal stool. This is just my humble opinion."
