class_index,review_title,review_text
5,Just What I needed,"Gospel, old time with alot of soul. Especially like Amazing Grace version. My first gospel type CD, plan to buy another. This music is one of a kind."
4,Another uplifting piece of music,This was bought as a gift for a friend of mine who plays guitar and sings spirituals. He loves it and listens to it to lift his spirits!
4,Gospel music even a foxhole atheist can dig,"Yeah, that's right, I'm an atheist and a secular humanist. But I dig great music, period. And this is some rockin' sockin' gospel music, given a real nitty-gritty bluesy edge by the backup musicians. Their cover of Tom Waits' ""Way Down in the Hole"" is one of my favorite tracks of all-time in any genre (if you watched season one of ""The Wire"" you'll recognize it as the theme song). No need to believe in supernatural deities, folks - just believe in the power of the music to move a funky carbon-based life form."
4,Really good stuff,"This CD is excellent from beginning to end. I listened as I drove to the beach one rainy afternoon, and found myself singing along. The Amazing Grace/House of the Rising Sun song is SO GREAT."
1,Nothing 360 about this,I was extremely disappointed in this. First I thought it would project a 360 line around the room - It does not.I found it to be hard to use & almost worthless.
1,Came with dead cell,Bought from Amazon market place and the unit arrived with a dead cell. Never worked.
4,works well,"can't complain, it does the job, and was very inexpensive....though the ball configuration isn't' the best, i like a linear setup better"
4,Cute!!,"I bought this for my 2yr old thinking she would love it. I think my 8 and 10 yr old watch it more, its funny they say they are putting it on for their little sister but they watch it and my 2 yr old doesn't stay interested in it. I think she will like it one day, she does love seeing the characters at Sesame Place and when we see Sesame Street Live, but she is just really into Barney right now. Everything has to be Barney. I did think it was a cute video and if you are an Elmo fan and Abby Cadabby you'll love it."
4,My son likes it!,"My son is too young to really know what is going on in the show, but as a fan myself, I though Elmo's Christmas Countdown was pretty cute although I wasn't a fan of some of the musical talents such as Sheryl Crowe or Jennifer Hudson. Their music just seemed kind of ""off"". I enjoyed Alicia Keys performance and the Bert and Ernie skit. I also wasn't a fan of Kevin James as Santa....more so him singing.I really liked the story and I liked Stiller the Elf and my son seemed to enjoy it! That's all that matters!"
1,Cute but sends a bad message to kids...,"This movie is cute... most of the cameos & songs are good. I don't like some of the dialogue. A couple of times during the movie a character starts talking about the ""elfin' menace"".... Its sounds like hes saying ""f-in menace"". Another character says something like ""not having a snowballs chance in..."" & another character pipes in & says something before the character says ""hell"". Some parents might not care if their kids talk trashy but I do. Its a shame because if they had left out those comments it would definitely be a keeper."
4,"VERY GOOD, BUT COULD BE BETTER...","The story is very good, but my 4 y/o child and I can't give it the 5 stars.The main audience of this story is supposed to be young children... some jokes, in my opinion, are waaaayyy tooo complicated for the kiddos. I don't like this ""revolutionary"" idea of a Santa who likes rock... the rocker Santa was *not* silly; rather, he was simply corny... and it was supposed to be one of the magical moments of the story. something can be funny and still magical.... but that santa?...hmmmm, nop.Don't get me wrong, the story is very good and my child liked it (let's say that is lacking something.... it's just not having the feeling of a classic Christmas story)... but overall, it's OK. I specially liked seeing so many American celebrities singing so many wonderful songs for the story... but the end is totally messed up... they did a good job putting everything together, so I'll give it 4 stars."
3,Just okay... my son is not impressed,"I am the parent of a Two year old ELMO-holic... we now have an extensive DVD collection of this little red monster.This is not one of my son's favorites.. it's drawn out and not very entertaining. However, he really enjoys the Elmo's World - Happy Holidays DVD. I would recommend it over this Christmas Countdown."
5,An excellent Elmo Christmas movie,"This is by far better than the other elmo Xmas movie which we hated and gave one star and highly suggest you avoid. This is however the opposite. It's slightly different then the usual elmo progression which is very nice. It has Abby Cadabby in it as elmo's co-star and has quite a few Christmas songs woven into the story of them trying to save Christmas. They just need to wish upon a Christmas star and have a little faith, which elmo does. The story line is great, the colors and mood are extremely festive. The singers and song choices are excellent. I would say it's probably one of the best kid Christmas dvd's you can get that they, or even you for that matter, will enjoy again and again."
5,2 year old daughter LOVES this movie!,"My daughter is 2 years old and is huge Abby and Elmo fan!! She loves Seaseme Street and will actually sit still while watching this movie. The cast is great and it holds my child's interest. My 6 year old son also likes this movie.If your child loves Sesame Street, they will love Elmo's Christmas Countdown!"
5,a new christmas classic,we watched this video with our son and we all loved it. It helped usher in the Christmas spirit and the guest cast is wonderful. Very entertaining.
5,Great video,This is a great dvd. Even the adults in the house loved watching this movie. My daughter has a collection of Elmo movies. We intially checked this dvd out of the library but she would not let me return it so I had to buy one.
4,Great Movie for Elmo Lovers of Any Age,Elmo is always fun to watch and my grandkids (and I) enjoy him.I'm happy to make this movie part of our Christmas Eve movie celebration.
4,Cute story,This is a cute christmas movies for both kids and adults. There is the learning for kids and also adult jokes.
2,"I love it, but my 1 yr old does not","I think this is a great movie and I love the musical number by all of the famous people. However, my one year old could care less and Elmo doesnt have enough screen time for this to hold her attention."
