Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
10907,285001,130.0 060.0,19-5907BD-HY-196-1606-13000600-1948A-3,1948,2.260000,34.61000,1.680000,27.64900,22.00000,73.01014,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1948.000,2.260000,2.120000,34.61000,27.64000,54.00000,2.100000,1.680000,22.00000,,,,,,,,1968,,,,,,,,
10907,285002,130.0 060.0,19-5907BD-HY-196-1606-13000600-2000A-7,2000,2.200000,34.61200,1.760000,27.65600,23.00000,76.48630,,7,2,,3,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2000.000,2.200000,2.060000,34.61200,27.65000,53.40000,2.120000,1.760000,23.00000,,,,,,,,2021,,,,,,,,
10907,285003,130.0 060.0,19-5907BD-HY-196-1606-13000600-2121A-3,2121,2.080000,34.62000,1.940000,27.67300,25.30000,84.30737,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2121.000,2.080000,1.930000,34.62000,27.67000,51.80000,2.190000,1.940000,25.30000,,,,,,,,2144,,,,,,,,
10907,285004,130.0 060.0,19-5907BD-HY-196-1606-13000600-2200A-7,2200,2.010000,34.63400,2.040000,27.69000,26.50000,88.65163,,7,2,,3,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2200.000,2.010000,1.850000,34.63400,27.69000,50.20000,2.230000,2.040000,26.50000,,,,,,,,2224,,,,,,,,
10907,285005,130.0 060.0,19-5907BD-HY-196-1606-13000600-2295A-3,2295,1.940000,34.65000,2.130000,27.70900,27.70000,92.56104,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2295.000,1.940000,1.780000,34.65000,27.70000,48.60000,2.270000,2.130000,27.70000,,,,,,,,2321,,,,,,,,
10907,285006,130.0 060.0,19-5907BD-HY-196-1606-13000600-2400A-7,2400,1.870000,34.64900,2.190000,27.71400,28.40000,95.16792,,7,2,,3,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2400.000,1.870000,1.700000,34.64900,27.71000,48.10000,2.330000,2.190000,28.40000,,,,,,,,2427,,,,,,,,
10907,285007,130.0 060.0,19-5907BD-HY-196-1606-13000600-2473A-3,2473,1.840000,34.65000,2.230000,27.71700,28.90000,96.90586,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2473.000,1.840000,1.660000,34.65000,27.71000,48.00000,2.360000,2.230000,28.90000,,,,,,,,2502,,,,,,,,
10907,285008,130.0 060.0,19-5907BD-HY-196-1606-13000600-2562A-3,2562,1.820000,34.63000,2.300000,27.70300,29.80000,99.94910,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2562.000,1.820000,1.630000,34.63000,27.70000,49.50000,2.400000,2.300000,29.80000,,,,,,,,2592,,,,,,,,
10907,285009,130.0 060.0,19-5907BD-HY-196-1606-13000600-2600A-7,2600,1.800000,,,,,,,7,2,,,9,9,9,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2600.000,1.800000,,,,,,,,,,,,,,,2633,,,,,,,,
10907,285010,130.0 060.0,19-5907BD-HY-196-1606-13000600-2654A-3,2654,1.770000,,,,,,,3,2,,,9,9,9,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2654.000,1.770000,,,,,,,,,,,,,,,2688,,,,,,,,
10908,285011,130.0 070.0,19-5907BD-HY-197-0030-13000700-0000B-7,0,22.61000,33.87000,4.730000,23.19000,95.40000,206.4541,,7,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,22.61000,22.61000,33.87000,23.19000,467.4000,0.000000,4.730000,95.40000,,,,,,,,0,,,,,,,,
10908,285012,130.0 070.0,19-5907BD-HY-197-0030-13000700-0001A-3,1,22.61000,33.87000,4.730000,23.19000,95.40000,206.4541,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1.000000,22.61000,22.61000,33.87000,23.19000,467.4000,0.005000,4.730000,95.40000,,,,,,,,1,,,,,,,,
10908,285013,130.0 070.0,19-5907BD-HY-197-0030-13000700-0010A-3,10,22.56000,33.86000,4.770000,23.19700,96.10000,208.1986,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.00000,22.56000,22.56000,33.86000,23.19000,467.1000,0.040000,4.770000,96.10000,,,,,,,,10,,,,,,,,
