Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
24777,606001,047.7 048.7,19-8705NM-HY-121-1328-04770487-0050A-7,50,8.870000,33.59400,4.110000,26.03900,62.90000,178.8944,,7,2,,3,,9,,,,0.600000,,0.430000,,1.750000,,29.00000,,0.100000,,22.70000,,,9,,,9,,,9,,,9,,,9,,,50.00000,8.870000,8.860000,33.59400,26.03000,197.0000,0.110000,4.110000,62.90000,29.00000,1.750000,22.70000,0.100000,,0.600000,0.430000,50,,,,,,,,
24777,606002,047.7 048.7,19-8705NM-HY-121-1328-04770487-0054A-3,54,8.800000,33.63100,3.950000,26.07900,60.30000,171.9234,,3,2,,3,,,,,,0.470000,,0.420000,,1.790000,,30.00000,,0.100000,,23.30000,,,9,,,9,,,9,,,9,,,9,,,54.00000,8.800000,8.790000,33.63100,26.07000,193.2000,0.120000,3.950000,60.30000,30.00000,1.790000,23.30000,0.100000,,0.470000,0.420000,54,,,,,,,,
24777,606003,047.7 048.7,19-8705NM-HY-121-1328-04770487-0063A-3,63,8.710000,33.66000,3.830000,26.11600,58.40000,166.6944,,3,2,,3,,,,,,0.360000,,0.860000,,1.820000,,30.70000,,0.130000,,23.70000,,,9,,,9,,,9,,,9,,,9,,,63.00000,8.710000,8.700000,33.66000,26.11000,189.9000,0.140000,3.830000,58.40000,30.70000,1.820000,23.70000,0.130000,,0.360000,0.860000,63,,,,,,,,
24777,606004,047.7 048.7,19-8705NM-HY-121-1328-04770487-0074A-3,74,8.510000,33.73300,3.530000,26.20400,53.60000,153.6242,,3,2,,3,,,,,,0.250000,,0.840000,,1.910000,,32.90000,,0.080000,,25.20000,,,9,,,9,,,9,,,9,,,9,,,74.00000,8.510000,8.500000,33.73300,26.20000,181.7000,0.160000,3.530000,53.60000,32.90000,1.910000,25.20000,0.080000,,0.250000,0.840000,74,,,,,,,,
24777,606005,047.7 048.7,19-8705NM-HY-121-1328-04770487-0075A-7,75,8.490000,33.73900,3.510000,26.21100,53.30000,152.7528,,7,2,,3,,9,,,,0.240000,,0.810000,,1.920000,,33.10000,,0.080000,,25.30000,,,9,,,9,,,9,,,9,,,9,,,75.00000,8.490000,8.480000,33.73900,26.21000,181.0000,0.160000,3.510000,53.30000,33.10000,1.920000,25.30000,0.080000,,0.240000,0.810000,75,,,,,,,,
24777,606006,047.7 048.7,19-8705NM-HY-121-1328-04770487-0088A-3,88,8.300000,33.80900,3.260000,26.29500,49.30000,141.8614,,3,2,,3,,,,,,0.170000,,0.340000,,1.990000,,35.60000,,0.070000,,26.50000,,,9,,,9,,,9,,,9,,,9,,,88.00000,8.300000,8.290000,33.80900,26.29000,173.3000,0.180000,3.260000,49.30000,35.60000,1.990000,26.50000,0.070000,,0.170000,0.340000,89,,,,,,,,
24777,606007,047.7 048.7,19-8705NM-HY-121-1328-04770487-0100A-7,100,8.200000,33.84700,3.130000,26.34000,47.20000,136.1983,,7,2,,3,,9,,,,0.130000,,0.310000,,2.030000,,37.00000,,0.060000,,27.20000,,,9,,,9,,,9,,,9,,,9,,,100.0000,8.200000,8.190000,33.84700,26.34000,169.2000,0.200000,3.130000,47.20000,37.00000,2.030000,27.20000,0.060000,,0.130000,0.310000,101,,,,,,,,
24777,606008,047.7 048.7,19-8705NM-HY-121-1328-04770487-0109A-3,109,8.160000,33.86600,3.060000,26.36100,46.10000,133.1496,,3,2,,3,,,,,,0.110000,,0.290000,,2.060000,,37.70000,,0.060000,,27.50000,,,9,,,9,,,9,,,9,,,9,,,109.0000,8.160000,8.150000,33.86600,26.36000,167.4000,0.220000,3.060000,46.10000,37.70000,2.060000,27.50000,0.060000,,0.110000,0.290000,110,,,,,,,,
24777,606009,047.7 048.7,19-8705NM-HY-121-1328-04770487-0125A-7,125,8.120000,33.89900,2.920000,26.39400,44.00000,127.0537,,7,2,,3,,9,,,,0.100000,,0.340000,,2.110000,,38.90000,,0.060000,,28.10000,,,9,,,9,,,9,,,9,,,9,,,125.0000,8.120000,8.110000,33.89900,26.39000,164.6000,0.240000,2.920000,44.00000,38.90000,2.110000,28.10000,0.060000,,0.100000,0.340000,126,,,,,,,,
24777,606010,047.7 048.7,19-8705NM-HY-121-1328-04770487-0135A-3,135,8.100000,33.91600,2.850000,26.41000,42.90000,124.0060,,3,2,,3,,,,,,0.100000,,0.380000,,2.140000,,39.50000,,0.060000,,28.40000,,,9,,,9,,,9,,,9,,,9,,,135.0000,8.100000,8.090000,33.91600,26.41000,163.2000,0.260000,2.850000,42.90000,39.50000,2.140000,28.40000,0.060000,,0.100000,0.380000,136,,,,,,,,
