Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
27788,682001,093.3 045.0,19-9410NM-MX-274-1204-09330450-0050A-3,50,12.38000,33.47000,4.980000,25.33000,82.20000,216.9124,,3,2,,3,,,,,,0.640000,,0.510000,,1.020000,,11.70000,,0.320000,,10.00000,,,9,,,9,,,9,,,9,,,9,,,50.00000,12.38000,12.37000,33.47000,25.33000,264.6000,0.180000,4.980000,82.20000,11.70000,1.020000,10.00000,0.320000,,0.640000,0.510000,50,,,,,,,,
27788,682002,093.3 045.0,19-9410NM-MX-274-1204-09330450-0060A-3,60,11.63000,33.48400,4.490000,25.48300,72.90000,195.5404,,3,2,,3,,,,,,0.450000,,0.490000,,1.210000,,14.70000,,0.350000,,13.60000,,,9,,,9,,,9,,,9,,,9,,,60.00000,11.63000,11.62000,33.48400,25.48000,250.3000,0.200000,4.490000,72.90000,14.70000,1.210000,13.60000,0.350000,,0.450000,0.490000,60,,,,,,,,
27788,682003,093.3 045.0,19-9410NM-MX-274-1204-09330450-0069A-3,69,10.89000,33.51000,4.100000,25.63700,65.50000,178.5291,,3,2,,3,,,,,,0.320000,,0.460000,,1.370000,,17.50000,,0.150000,,16.70000,,,9,,,9,,,9,,,9,,,9,,,69.00000,10.89000,10.88000,33.51000,25.63000,235.8000,0.220000,4.100000,65.50000,17.50000,1.370000,16.70000,0.150000,,0.320000,0.460000,69,,,,,,,,
27788,682004,093.3 045.0,19-9410NM-MX-274-1204-09330450-0075A-7,75,10.41000,33.54600,3.870000,25.74900,61.20000,168.4956,,7,2,,3,,9,,,,0.230000,,0.360000,,1.490000,,19.70000,,0.080000,,18.60000,,,9,,,9,,,9,,,9,,,9,,,75.00000,10.41000,10.40000,33.54600,25.74000,225.2000,0.240000,3.870000,61.20000,19.70000,1.490000,18.60000,0.080000,,0.230000,0.360000,75,,,,,,,,
27788,682005,093.3 045.0,19-9410NM-MX-274-1204-09330450-0084A-3,84,9.840000,33.60400,3.620000,25.89100,56.60000,157.5891,,3,2,,3,,,,,,0.120000,,0.200000,,1.640000,,22.60000,,0.030000,,20.80000,,,9,,,9,,,9,,,9,,,9,,,84.00000,9.840000,9.830000,33.60400,25.89000,211.9000,0.260000,3.620000,56.60000,22.60000,1.640000,20.80000,0.030000,,0.120000,0.200000,84,,,,,,,,
27788,682006,093.3 045.0,19-9410NM-MX-274-1204-09330450-0099A-3,99,9.510000,33.65100,3.490000,25.98200,54.20000,151.9163,,3,2,,3,,,,,,0.080000,,0.150000,,1.700000,,24.40000,,0.020000,,22.00000,,,9,,,9,,,9,,,9,,,9,,,99.00000,9.510000,9.500000,33.65100,25.98000,203.5000,0.290000,3.490000,54.20000,24.40000,1.700000,22.00000,0.020000,,0.080000,0.150000,99,,,,,,,,
27788,682007,093.3 045.0,19-9410NM-MX-274-1204-09330450-0100A-7,100,9.490000,33.65500,3.480000,25.98900,54.00000,151.4800,,7,2,,3,,9,,,,0.080000,,0.150000,,1.710000,,24.50000,,0.020000,,22.10000,,,9,,,9,,,9,,,9,,,9,,,100.0000,9.490000,9.480000,33.65500,25.98000,202.9000,0.290000,3.480000,54.00000,24.50000,1.710000,22.10000,0.020000,,0.080000,0.150000,100,,,,,,,,
27788,682008,093.3 045.0,19-9410NM-MX-274-1204-09330450-0120A-3,120,9.100000,33.74100,3.240000,26.11900,49.80000,141.0152,,3,2,,3,,,,,,0.030000,,0.060000,,1.830000,,27.60000,,0.020000,,23.80000,,,9,,,9,,,9,,,9,,,9,,,120.0000,9.100000,9.090000,33.74100,26.11000,190.8000,0.330000,3.240000,49.80000,27.60000,1.830000,23.80000,0.020000,,0.030000,0.060000,121,,,,,,,,
27788,682009,093.3 045.0,19-9410NM-MX-274-1204-09330450-0125A-7,125,9.010000,33.76200,3.190000,26.15000,49.00000,138.8349,,7,2,,3,,9,,,,0.020000,,0.060000,,1.860000,,28.30000,,0.010000,,24.20000,,,9,,,9,,,9,,,9,,,9,,,125.0000,9.010000,9.000000,33.76200,26.15000,188.0000,0.340000,3.190000,49.00000,28.30000,1.860000,24.20000,0.010000,,0.020000,0.060000,126,,,,,,,,
27788,682010,093.3 045.0,19-9410NM-MX-274-1204-09330450-0138A-3,138,8.810000,33.81300,3.060000,26.22100,46.80000,133.1678,,3,2,,3,,,,,,0.010000,,0.050000,,1.920000,,30.10000,,0.000000,,25.20000,,,9,,,9,,,9,,,9,,,9,,,138.0000,8.810000,8.800000,33.81300,26.22000,181.4000,0.360000,3.060000,46.80000,30.10000,1.920000,25.20000,0.000000,,0.010000,0.050000,139,,,,,,,,
