Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
4753,131001,063.3 055.0,19-5208BD-HY-232-0530-06330550-0075A-7,75,9.140000,33.15500,4.830000,25.65300,74.10000,210.3127,,7,2,,3,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.00000,9.140000,9.130000,33.15500,25.65000,234.1000,0.210000,4.830000,74.10000,,,,,,,,75,,,,,,,,
4753,131002,063.3 055.0,19-5208BD-HY-232-0530-06330550-0085A-3,85,8.740000,33.42000,4.120000,25.92300,62.80000,179.3499,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,85.00000,8.740000,8.730000,33.42000,25.92000,208.6000,0.230000,4.120000,62.80000,,,,,,,,85,,,,,,,,
4753,131003,063.3 055.0,19-5208BD-HY-232-0530-06330550-0100A-7,100,8.710000,33.68500,3.230000,26.13600,49.20000,140.5777,,7,2,,3,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.0000,8.710000,8.700000,33.68500,26.13000,188.7000,0.260000,3.230000,49.20000,,,,,,,,101,,,,,,,,
4753,131004,063.3 055.0,19-5208BD-HY-232-0530-06330550-0125A-7,125,8.670000,33.90200,2.130000,26.31200,32.50000,92.68703,,7,2,,3,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125.0000,8.670000,8.660000,33.90200,26.31000,172.5000,0.310000,2.130000,32.50000,,,,,,,,126,,,,,,,,
4753,131005,063.3 055.0,19-5208BD-HY-232-0530-06330550-0129A-3,129,8.660000,33.91000,2.000000,26.32000,30.50000,87.02939,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,129.0000,8.660000,8.650000,33.91000,26.32000,171.8000,0.320000,2.000000,30.50000,,,,,,,,130,,,,,,,,
4753,131006,063.3 055.0,19-5208BD-HY-232-0530-06330550-0150A-7,150,8.540000,33.93200,1.930000,26.35600,29.40000,83.98041,,7,2,,3,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150.0000,8.540000,8.520000,33.93200,26.35000,168.7000,0.350000,1.930000,29.40000,,,,,,,,151,,,,,,,,
4753,131007,063.3 055.0,19-5208BD-HY-232-0530-06330550-0176A-3,176,8.400000,33.96000,1.850000,26.40000,28.10000,80.49591,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,176.0000,8.400000,8.380000,33.96000,26.40000,165.0000,0.400000,1.850000,28.10000,,,,,,,,177,,,,,,,,
4754,131008,060.0 055.0,19-5208BD-HY-232-1612-06000550-0000B-3,0,10.15000,,5.260000,,,,,3,2,,,9,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,10.15000,,,,,,5.260000,,,,,,,,,0,,,,,,,,
4754,131009,060.0 055.0,19-5208BD-HY-232-1612-06000550-0010A-3,10,10.14000,,5.380000,,,,,3,2,,,9,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.00000,10.14000,,,,,,5.380000,,,,,,,,,10,,,,,,,,
4754,131010,060.0 055.0,19-5208BD-HY-232-1612-06000550-0020A-3,20,10.10000,,5.300000,,,,,3,2,,,9,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.00000,10.10000,,,,,,5.300000,,,,,,,,,20,,,,,,,,
4754,131011,060.0 055.0,19-5208BD-HY-232-1612-06000550-0030A-3,30,9.930000,,5.180000,,,,,3,2,,,9,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.00000,9.930000,,,,,,5.180000,,,,,,,,,30,,,,,,,,
4754,131012,060.0 055.0,19-5208BD-HY-232-1612-06000550-0049A-3,49,8.980000,,4.240000,,,,,3,2,,,9,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,49.00000,8.980000,,,,,,4.240000,,,,,,,,,49,,,,,,,,
4754,131013,060.0 055.0,19-5208BD-HY-232-1612-06000550-0050A-7,50,8.960000,,4.190000,,,,,7,2,,,9,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.00000,8.960000,,,,,,4.190000,,,,,,,,,50,,,,,,,,
4754,131014,060.0 055.0,19-5208BD-HY-232-1612-06000550-0074A-3,74,8.520000,,2.920000,,,,,3,2,,,9,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,74.00000,8.520000,,,,,,2.920000,,,,,,,,,75,,,,,,,,
4755,131015,100.0 029.0,19-5208CR-HY-222-0248-10000290-0000B-3,0,15.51000,33.40000,7.520000,24.62800,132.3000,327.7708,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,15.51000,15.51000,33.40000,24.62000,330.2000,0.000000,7.520000,132.3000,,,,,,,,0,,,,,,,,
4755,131016,100.0 029.0,19-5208CR-HY-222-0248-10000290-0010A-3,10,12.47000,33.40000,6.320000,25.25800,104.4000,275.2977,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.00000,12.47000,12.47000,33.40000,25.25000,270.5000,0.030000,6.320000,104.4000,,,,,,,,10,,,,,,,,
4755,131017,100.0 029.0,19-5208CR-HY-222-0248-10000290-0020A-3,20,10.95000,33.46000,4.610000,25.58600,73.80000,200.7463,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.00000,10.95000,10.95000,33.46000,25.58000,239.5000,0.050000,4.610000,73.80000,,,,,,,,20,,,,,,,,
4755,131018,100.0 029.0,19-5208CR-HY-222-0248-10000290-0030A-3,30,10.78000,33.55000,4.160000,25.68700,66.40000,181.1328,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.00000,10.78000,10.78000,33.55000,25.68000,230.2000,0.070000,4.160000,66.40000,,,,,,,,30,,,,,,,,
4755,131019,100.0 029.0,19-5208CR-HY-222-0248-10000290-0050A-3,50,10.38000,33.69000,3.000000,25.86600,47.50000,130.6019,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.00000,10.38000,10.37000,33.69000,25.86000,213.6000,0.120000,3.000000,47.50000,,,,,,,,50,,,,,,,,
4756,131020,100.0 030.0,19-5208CR-HY-222-0412-10000300-0000B-3,0,18.48000,33.49000,5.530000,23.99900,103.1000,241.1817,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,18.48000,18.48000,33.49000,23.99000,390.2000,0.000000,5.530000,103.1000,,,,,,,,0,,,,,,,,
4756,131021,100.0 030.0,19-5208CR-HY-222-0412-10000300-0010A-3,10,13.46000,33.42000,6.390000,25.07800,107.8000,278.3958,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.00000,13.46000,13.46000,33.42000,25.07000,287.6000,0.030000,6.390000,107.8000,,,,,,,,10,,,,,,,,
